timestamp, orientation_x, orientation_y, joystick_action, joystick_state, ball_x, ball_y, ball_z
"Fri Sep 15 23:00:32 2023
", 0, 0, null, null, 0.00309127, 1.5, -0.00314587
"Fri Sep 15 23:00:32 2023
", 0, 0, null, null, 0.00309127, 1.5, -0.00314587
"Fri Sep 15 23:00:32 2023
", 0, 0, null, null, 0.00309127, 1.5, -0.00314587
"Fri Sep 15 23:00:32 2023
", 0, 0, null, null, 0.00309127, 1.5, -0.00314587
"Fri Sep 15 23:00:32 2023
", 0, 0, null, null, 0.00309127, 1.5, -0.00314587
"Fri Sep 15 23:00:32 2023
", 0, 0, null, null, 0.00309127, 1.5, -0.00314587
"Fri Sep 15 23:00:32 2023
", 0, 0, null, null, 0.00309127, 1.5, -0.00314587
"Fri Sep 15 23:00:32 2023
", 0, 0, null, null, 0.00309127, 1.5, -0.00314587
"Fri Sep 15 23:00:32 2023
", 0, 0, null, null, 0.00309127, 1.5, -0.00314587
"Fri Sep 15 23:00:32 2023
", 0, 0, null, null, 0.00309127, 1.5, -0.00314587
"Fri Sep 15 23:00:32 2023
", 0, 0, null, null, 0.00309127, 1.5, -0.00314587
"Fri Sep 15 23:00:32 2023
", 0, 0, null, null, 0.00309127, 1.5, -0.00314587
"Fri Sep 15 23:00:32 2023
", 0, 0, null, null, 0.00309127, 1.5, -0.00314587
"Fri Sep 15 23:00:32 2023
", 0, 0, null, null, 0.00309127, 1.5, -0.00314587
"Fri Sep 15 23:00:32 2023
", 0, 0, null, null, 0.00309127, 1.5, -0.00314587
"Fri Sep 15 23:00:32 2023
", 0, 0, null, null, 0.00309127, 1.5, -0.00314587
"Fri Sep 15 23:00:32 2023
", 0, 0, null, null, 0.00309127, 1.5, -0.00314587
"Fri Sep 15 23:00:32 2023
", 0, 0, null, null, 0.00309127, 1.5, -0.00314587
"Fri Sep 15 23:00:32 2023
", 0, 0, null, null, 0.00309127, 1.5, -0.00314587
"Fri Sep 15 23:00:32 2023
", 0, 0, null, null, 0.00309127, 1.5, -0.00314587
"Fri Sep 15 23:00:32 2023
", 0, 0, null, null, 0.00309127, 1.5, -0.00314587
"Fri Sep 15 23:00:32 2023
", 0, 0, null, null, 0.00309127, 1.5, -0.00314587
"Fri Sep 15 23:00:32 2023
", 0, 0, null, null, 0.00309127, 1.5, -0.00314587
"Fri Sep 15 23:00:32 2023
", 0, 0, null, null, 0.00309127, 1.5, -0.00314587
"Fri Sep 15 23:00:32 2023
", 0, 0, null, null, 0.00309127, 1.5, -0.00314587
"Fri Sep 15 23:00:32 2023
", 0, 0, null, null, 0.00309127, 1.5, -0.00314587
