timestamp, orientation_x, orientation_y, joystick_action, joystick_state
"Sat Sep 16 10:54:08 2023
", 9.83, 6.56, none, none
"Sat Sep 16 10:54:08 2023
", 7.23, 3.16, none, none
"Sat Sep 16 10:54:08 2023
", 5.23, 1.06, none, none
"Sat Sep 16 10:54:08 2023
", 5.12, -2.16, none, none
"Sat Sep 16 10:54:08 2023
", 6.86, -5.97, none, none
"Sat Sep 16 10:54:08 2023
", 9.44, -8.82, none, none
"Sat Sep 16 10:54:08 2023
", 11.22, -10.14, none, none
"Sat Sep 16 10:54:08 2023
", 12.38, -9.85, none, none
"Sat Sep 16 10:54:08 2023
", 14.04, -9.76, none, none
"Sat Sep 16 10:54:08 2023
", 15.73, -9.32, none, none
"Sat Sep 16 10:54:08 2023
", 18.62, -7.46, none, none
"Sat Sep 16 10:54:08 2023
", 21.53, -6.49, none, none
"Sat Sep 16 10:54:08 2023
", 24.00, -5.62, none, none
"Sat Sep 16 10:54:08 2023
", 25.82, -4.82, none, none
"Sat Sep 16 10:54:08 2023
", 28.36, -3.91, none, none
"Sat Sep 16 10:54:08 2023
", 32.39, -3.32, none, none
"Sat Sep 16 10:54:08 2023
", 36.43, -2.21, none, none
"Sat Sep 16 10:54:08 2023
", 39.59, -1.15, none, none
"Sat Sep 16 10:54:08 2023
", 42.05, -0.33, none, none
"Sat Sep 16 10:54:08 2023
", 44.96, 0.58, none, none
"Sat Sep 16 10:54:08 2023
", 48.48, 0.58, none, none
"Sat Sep 16 10:54:08 2023
", 53.64, -0.31, none, none
"Sat Sep 16 10:54:08 2023
", 57.07, -0.05, none, none
"Sat Sep 16 10:54:09 2023
", 59.20, 0.15, none, none
"Sat Sep 16 10:54:09 2023
", 58.41, 0.86, none, none
"Sat Sep 16 10:54:09 2023
", 56.65, 1.21, none, none
"Sat Sep 16 10:54:09 2023
", 53.71, 1.05, none, none
"Sat Sep 16 10:54:09 2023
", 50.46, 1.07, none, none
"Sat Sep 16 10:54:09 2023
", 46.65, 1.16, none, none
"Sat Sep 16 10:54:09 2023
", 40.92, 1.36, none, none
"Sat Sep 16 10:54:09 2023
", 32.95, 1.63, none, none
"Sat Sep 16 10:54:09 2023
", 24.01, 1.31, none, none
"Sat Sep 16 10:54:09 2023
", 15.96, 1.56, none, none
"Sat Sep 16 10:54:09 2023
", 7.51, 1.16, none, none
"Sat Sep 16 10:54:09 2023
", -1.03, 0.09, none, none
"Sat Sep 16 10:54:09 2023
", -8.60, -1.15, none, none
"Sat Sep 16 10:54:09 2023
", -15.06, -2.40, none, none
"Sat Sep 16 10:54:09 2023
", -19.93, -3.32, none, none
"Sat Sep 16 10:54:09 2023
", -24.76, -4.26, none, none
"Sat Sep 16 10:54:09 2023
", -29.42, -5.34, none, none
"Sat Sep 16 10:54:09 2023
", -33.42, -6.27, none, none
"Sat Sep 16 10:54:09 2023
", -35.42, -7.09, none, none
"Sat Sep 16 10:54:09 2023
", -36.91, -7.44, none, none
"Sat Sep 16 10:54:09 2023
", -37.98, -7.40, none, none
"Sat Sep 16 10:54:09 2023
", -37.70, -7.29, none, none
"Sat Sep 16 10:54:09 2023
", -37.11, -7.08, none, none
"Sat Sep 16 10:54:09 2023
", -36.07, -6.93, none, none
"Sat Sep 16 10:54:09 2023
", -34.87, -6.66, none, none
"Sat Sep 16 10:54:09 2023
", -33.39, -6.21, none, none
"Sat Sep 16 10:54:09 2023
", -31.61, -6.02, none, none
"Sat Sep 16 10:54:09 2023
", -30.12, -6.37, none, none
"Sat Sep 16 10:54:09 2023
", -28.81, -7.08, none, none
"Sat Sep 16 10:54:09 2023
", -26.60, -7.54, none, none
"Sat Sep 16 10:54:09 2023
", -25.01, -7.69, none, none
"Sat Sep 16 10:54:09 2023
", -24.09, -7.73, none, none
"Sat Sep 16 10:54:09 2023
", -23.13, -7.64, none, none
"Sat Sep 16 10:54:09 2023
", -21.75, -7.62, none, none
"Sat Sep 16 10:54:09 2023
", -20.24, -7.43, none, none
"Sat Sep 16 10:54:09 2023
", -19.14, -7.28, none, none
"Sat Sep 16 10:54:09 2023
", -18.25, -7.56, none, none
"Sat Sep 16 10:54:09 2023
", -17.80, -7.91, none, none
"Sat Sep 16 10:54:09 2023
", -17.44, -8.55, none, none
"Sat Sep 16 10:54:09 2023
", -17.66, -9.09, none, none
"Sat Sep 16 10:54:09 2023
", -18.89, -9.39, none, none
"Sat Sep 16 10:54:09 2023
", -21.86, -9.28, none, none
"Sat Sep 16 10:54:09 2023
", -25.95, -8.98, none, none
"Sat Sep 16 10:54:09 2023
", -29.93, -9.13, none, none
"Sat Sep 16 10:54:09 2023
", -33.50, -8.87, none, none
"Sat Sep 16 10:54:09 2023
", -36.78, -8.54, none, none
"Sat Sep 16 10:54:09 2023
", -39.92, -8.25, none, none
"Sat Sep 16 10:54:09 2023
", -42.85, -7.94, none, none
"Sat Sep 16 10:54:09 2023
", -45.43, -7.59, none, none
"Sat Sep 16 10:54:09 2023
", -48.19, -7.33, none, none
"Sat Sep 16 10:54:09 2023
", -49.86, -7.32, none, none
"Sat Sep 16 10:54:10 2023
", -50.72, -7.39, none, none
"Sat Sep 16 10:54:10 2023
", -51.01, -7.45, none, none
"Sat Sep 16 10:54:10 2023
", -50.99, -7.51, none, none
"Sat Sep 16 10:54:10 2023
", -50.70, -7.54, none, none
"Sat Sep 16 10:54:10 2023
", -49.84, -7.56, none, none
"Sat Sep 16 10:54:10 2023
", -47.56, -7.54, none, none
"Sat Sep 16 10:54:10 2023
", -43.41, -7.34, none, none
"Sat Sep 16 10:54:10 2023
", -38.04, -7.36, none, none
"Sat Sep 16 10:54:10 2023
", -32.44, -7.71, none, none
"Sat Sep 16 10:54:10 2023
", -27.26, -8.12, none, none
"Sat Sep 16 10:54:10 2023
", -22.41, -8.36, none, none
"Sat Sep 16 10:54:10 2023
", -18.43, -8.34, none, none
"Sat Sep 16 10:54:10 2023
", -15.43, -7.87, none, none
"Sat Sep 16 10:54:10 2023
", -13.19, -6.97, none, none
"Sat Sep 16 10:54:10 2023
", -11.00, -6.03, none, none
"Sat Sep 16 10:54:10 2023
", -9.34, -5.20, none, none
"Sat Sep 16 10:54:10 2023
", -8.48, -4.80, none, none
"Sat Sep 16 10:54:10 2023
", -8.16, -4.81, none, none
"Sat Sep 16 10:54:10 2023
", -8.43, -5.01, none, none
"Sat Sep 16 10:54:10 2023
", -8.92, -5.08, none, none
"Sat Sep 16 10:54:10 2023
", -9.20, -5.09, none, none
"Sat Sep 16 10:54:10 2023
", -9.41, -5.49, none, none
"Sat Sep 16 10:54:10 2023
", -9.28, -6.28, none, none
"Sat Sep 16 10:54:10 2023
", -8.37, -6.54, none, none
"Sat Sep 16 10:54:10 2023
", -6.57, -6.81, none, none
"Sat Sep 16 10:54:10 2023
", -3.41, -6.51, none, none
"Sat Sep 16 10:54:10 2023
", 1.44, -5.54, none, none
"Sat Sep 16 10:54:10 2023
", 6.41, -4.27, none, none
"Sat Sep 16 10:54:10 2023
", 12.19, -3.27, none, none
"Sat Sep 16 10:54:10 2023
", 19.19, -2.04, none, none
"Sat Sep 16 10:54:10 2023
", 26.27, -0.33, none, none
"Sat Sep 16 10:54:10 2023
", 32.06, 1.23, none, none
"Sat Sep 16 10:54:10 2023
", 36.40, 1.84, none, none
"Sat Sep 16 10:54:10 2023
", 39.62, 1.53, none, none
"Sat Sep 16 10:54:10 2023
", 42.30, 0.90, none, none
"Sat Sep 16 10:54:10 2023
", 46.01, 0.00, none, none
"Sat Sep 16 10:54:10 2023
", 50.44, -0.91, none, none
"Sat Sep 16 10:54:11 2023
", 54.26, -1.48, none, none
"Sat Sep 16 10:54:11 2023
", 57.44, -1.13, none, none
"Sat Sep 16 10:54:11 2023
", 59.69, -1.74, none, none
"Sat Sep 16 10:54:11 2023
", 60.30, -1.42, none, none
"Sat Sep 16 10:54:11 2023
", 61.34, -1.53, none, none
"Sat Sep 16 10:54:11 2023
", 60.65, -1.50, none, none
"Sat Sep 16 10:54:11 2023
", 60.74, -1.44, none, none
"Sat Sep 16 10:54:11 2023
", 61.34, -1.31, none, none
"Sat Sep 16 10:54:11 2023
", 61.53, -1.14, none, none
"Sat Sep 16 10:54:11 2023
", 61.21, -0.93, none, none
"Sat Sep 16 10:54:11 2023
", 60.47, -0.74, none, none
"Sat Sep 16 10:54:11 2023
", 60.26, -0.75, none, none
"Sat Sep 16 10:54:11 2023
", 60.65, -0.90, none, none
"Sat Sep 16 10:54:11 2023
", 61.04, -0.99, none, none
"Sat Sep 16 10:54:11 2023
", 61.21, -1.02, none, none
"Sat Sep 16 10:54:11 2023
", 61.29, -1.02, none, none
"Sat Sep 16 10:54:11 2023
", 61.48, -1.03, none, none
"Sat Sep 16 10:54:11 2023
", 62.24, -1.14, none, none
"Sat Sep 16 10:54:11 2023
", 63.61, -1.30, none, none
"Sat Sep 16 10:54:11 2023
", 64.55, -1.31, none, none
"Sat Sep 16 10:54:11 2023
", 65.10, -1.20, none, none
"Sat Sep 16 10:54:11 2023
", 65.34, -1.12, none, none
"Sat Sep 16 10:54:11 2023
", 65.93, -1.10, none, none
"Sat Sep 16 10:54:11 2023
", 66.81, -1.21, none, none
"Sat Sep 16 10:54:11 2023
", 67.85, -1.38, none, none
"Sat Sep 16 10:54:11 2023
", 68.89, -1.34, none, none
"Sat Sep 16 10:54:11 2023
", 69.82, -1.29, none, none
"Sat Sep 16 10:54:11 2023
", 70.64, -1.17, none, none
"Sat Sep 16 10:54:11 2023
", 71.84, -1.11, none, none
"Sat Sep 16 10:54:11 2023
", 73.53, -1.09, none, none
"Sat Sep 16 10:54:11 2023
", 75.24, -1.11, none, none
"Sat Sep 16 10:54:11 2023
", 76.77, -1.04, none, none
"Sat Sep 16 10:54:11 2023
", 77.93, -0.92, none, none
"Sat Sep 16 10:54:11 2023
", 79.20, -0.77, none, none
"Sat Sep 16 10:54:11 2023
", 80.55, -0.76, none, none
"Sat Sep 16 10:54:11 2023
", 81.72, -0.84, none, none
"Sat Sep 16 10:54:11 2023
", 82.91, -0.83, none, none
"Sat Sep 16 10:54:11 2023
", 84.11, -0.74, none, none
"Sat Sep 16 10:54:12 2023
", 85.95, -0.63, none, none
"Sat Sep 16 10:54:12 2023
", 88.19, -0.46, none, none
"Sat Sep 16 10:54:12 2023
", 89.99, -0.30, none, none
"Sat Sep 16 10:54:12 2023
", 91.08, -0.20, none, none
"Sat Sep 16 10:54:12 2023
", 91.55, 0.06, none, none
"Sat Sep 16 10:54:12 2023
", 91.69, 0.22, none, none
"Sat Sep 16 10:54:12 2023
", 91.41, 0.39, none, none
"Sat Sep 16 10:54:12 2023
", 90.81, 0.53, none, none
"Sat Sep 16 10:54:12 2023
", 89.76, 0.61, none, none
"Sat Sep 16 10:54:12 2023
", 87.85, 0.62, none, none
"Sat Sep 16 10:54:12 2023
", 84.01, 0.73, none, none
"Sat Sep 16 10:54:12 2023
", 77.23, 1.19, none, none
"Sat Sep 16 10:54:12 2023
", 67.60, 1.65, none, none
"Sat Sep 16 10:54:12 2023
", 57.54, 3.08, none, none
"Sat Sep 16 10:54:12 2023
", 50.31, 3.17, none, none
"Sat Sep 16 10:54:12 2023
", 44.44, 3.20, none, none
"Sat Sep 16 10:54:12 2023
", 38.78, 3.42, none, none
"Sat Sep 16 10:54:12 2023
", 32.44, 3.08, none, none
"Sat Sep 16 10:54:12 2023
", 26.09, 1.69, none, none
"Sat Sep 16 10:54:12 2023
", 20.66, 0.55, none, none
"Sat Sep 16 10:54:12 2023
", 15.02, 0.12, none, none
"Sat Sep 16 10:54:12 2023
", 9.32, 0.46, none, none
"Sat Sep 16 10:54:12 2023
", 1.67, 2.90, none, none
"Sat Sep 16 10:54:12 2023
", -7.28, 5.86, none, none
"Sat Sep 16 10:54:12 2023
", -14.97, 8.29, none, none
"Sat Sep 16 10:54:12 2023
", -18.07, 7.72, none, none
"Sat Sep 16 10:54:12 2023
", -18.78, 7.79, none, none
"Sat Sep 16 10:54:12 2023
", -18.86, 7.65, none, none
"Sat Sep 16 10:54:12 2023
", -18.91, 7.08, none, none
"Sat Sep 16 10:54:12 2023
", -18.36, 6.07, none, none
"Sat Sep 16 10:54:12 2023
", -20.09, 6.91, none, none
"Sat Sep 16 10:54:12 2023
", -24.72, 2.98, none, none
